name,latitude,longitude,color
Khmer [khm],12,105,#EDCE93
Khmu [kjg],19,100.75,#E6D77F
Khowar [khw],36.5,72.5,#199A6F
Kija [gia],-17.5,127.75,#484595
Kilivila [kij],-8.5,151,#E15B7D
Kiluba [lub],-8.5,26,#D85479
Kimaama [kig],-8,139.583,#A58EE0
Kinnauri [kfk],31.5,78.25,#3A8570
KinyaRwanda [kin],-2,30,#C94E6C
Kiowa [kio],37,-99,#6B3592
Kirghiz [kir],42,75,#188D73
Kiribati [gil],1.333,173,#FB6847
Kisi [kss],8.83,-10.17,#CB6E77
Kitanemuk [xxx-43],34.5,-117.5,#615A6E
Klamath [kla],42.5,-121.5,#4C6E33
Klon [kyo],-8.417,124.417,#B879D2
Koasati [cku],34.83,-85.17,#5640B4
Kobon [kpw],-5.167,144.417,#7371BF
Kodagu [kfa],13.08,76.42,#0D9B64
Koiwai [kwh],-4,134,#C16499
Kokborok [trp],24.33,92.5,#2887B0
Kokota [kkk],-8,159.25,#C5645B
Kola [kvv],-5.42,134.5,#D6698E
Kolami [kfb],20,78.5,#1EB062
Kolana [kvw],-8.3,125.133,#A15FDC
Kolokuma [ijc],4.92,5.67,#496FA3
Komo [xom],9,33.75,#CD6E63
Komodo [knh],-8.5,119.5,#E8986B
Kongo [kng],-5,15,#E05E6E
Konjo [kjc],-5.333,119.833,#DE6159
Konkani [knn],15.25,74.4,#29A657
Konso [kxc],5.4,37.5,#76707F
Korana [kqz],-26,22,#5B7662
Korean [kor],37,128,#4AB46D
Korku [kfq],25,78.5,#45905E
Koro [hru-2],27.25,92.8,#37AB9E
Koromfe [kfz],14.25,-0.92,#B67673
Korowai [khe],-5.417,140.25,#2D73A6
Kosraean [kos],5.3,163,#E78763
Koya [kff],17.5,81.333,#10B554
Koyi [kkt],27.4,86.9,#265798
Koyra Chiini [khq],16.75,3.5,#CB9F81
Kpelle [xpe],7,-10,#9E6A8F
Krongo [kgo],10.5,30,#B26E74
Ku Waru [xxx-14],-6,144.15,#4270AB
Kuanua [ksd],-4.4,152.167,#DC894C
Kui [kvd],-8.583,124.75,#AA55F2
Kui [kxu],20,83.5,#1CBA60
Kukatj [xxx-38],-17.95,140.8,#499181
Kuke [ght],28.531,84.846,#41859E
Kuku Nganhcara [wua],-14.8,141.9,#5CBC8B
Kuku Yalanji [gvn],-16,145,#47CE55
Kuman [kue],-5.917,144.917,#4B68B9
Kumauni [kfy],30,80,#1BB23F
Kumzari [zum],26,56.3,#9B728A
Kunama [kun],14.5,37,#716192
Kundal_Shahi [shd],34.55,73.84,#1A9559
Kunjen [kjn],-16.5,142,#52C594
Kuot [kto],-3.083,151.5,#C73D4C
Kupang Malay [mkn],-10.18,123.58,#E4B988
Kurdish [kmr],36,44,#75524C
Kurtöp [xkz],27.83,91,#3AB7B2
Kurux [kxl],26.5,87.35,#226583
Kusunda [kgg],28.33,83.1,#5D9593
Kutenai [kut],49.5,-116,#A13D2E
Kuuk Thaayorre [thd],-14,142.25,#62A588
Kuuku-Ya'u [kuy],-12.583,143.083,#4CC28D
Kuvi [kxv],18.75,82.667,#17BA75
Kwaio [kwd],-8.917,161.083,#E36B79
Kwangari [kwn],-18.5,20,#CA4E54
Kwaza [xwa],-12,-60.5,#63539F
Kwerba [kwe],-2.167,138.5,#3C579C
Kwini [gww],-14.333,126.75,#773599
Kyirong_Tibetan [bod-3],28.4,85.2,#31A1AF
Laal [gdm],10,17.67,#AF5E66
Lachi [lbt],23.123,104.703,#E8D59A
Ladakhi [lbj],34,78,#2993B0
Laguna [kjq],35.25,-107.33,#7E4C9C
Lahu [lhu],20.75,100.75,#9CB6BE
Lak [lbe],42.17,47.11,#3F887D
